iter	Passed	Remaining
407	17027	24706
408	17066	24661
409	17112	24625
410	17157	24588
411	17198	24545
412	17241	24505
413	17285	24466
414	17320	24415
415	17356	24365
416	17400	24327
417	17430	24269
418	17479	24237
419	17525	24201
420	17572	24168
421	17614	24125
422	17654	24082
423	17689	24030
424	17724	23980
425	17760	23930
426	17791	23874
427	17851	23857
428	17897	23821
429	17947	23790
430	17983	23741
431	18024	23699
432	18071	23664
433	18105	23612
434	18144	23567
435	18184	23522
436	18214	23466
437	18239	23402
438	18285	23366
439	18320	23316
440	18358	23270
441	18386	23211
442	18419	23159
443	18462	23119
444	18497	23070
445	18536	23025
446	18565	22967
447	18594	22448	448	18623	22449	449	18657	22450	450	18701	22451	451	18734	22452	452	18760	22453	453	18788	22454	454	18823	22455	455	18864	22456	456	18900	22457	457	18929	22458	458	18971	22459	459	19005	22460	460	19046	22461	461	19096	22462	462	19133	22463	463	19188	22464	464	19220	22465	465	19260	22466	466	19306	22467	467	19348	21468	468	19377	21469	469	19419	21470	470	19456	21471	471	19493	21472	19327	21534
473	19379	21505
474	19423	21467
475	475	19680	21476	476	19722	21477	477	19764	21478	19595	21314
479	19647	21284
480	19675	21230
481	19709	21181
482	19755	21145
483	483	20000	21484	484	20048	21485	485	20093	21486	486	20137	21487	487	20176	21488	488	20220	21489	489	20255	21490	20104	20841
491	491	20377	21492	492	20426	21493	20267	20759
494	20349	20760
495	20464	20794
496	20500	20748
497	20549	20714
498	20590	20673
499	20667	20667
500	20700	20617
501	20747	20581
502	20782	20534
503	20826	20496
504	20868	20455
505	20894	20398
506	20944	20366
507	20980	20319
508	21016	20273
509	21043	20218
510	21077	20169
511	21114	20125
512	21167	20094
513	21202	20047
514	21238	20001
515	21272	19953
516	21301	19901
517	21338	19855
518	21369	19804
519	21403	19756
520	21441	19713
521	21493	19681
522	21525	19632
523	21567	19591
524	21600	19543
525	21633	19494
526	21667	19447
527	21701	19399
528	21738	19355
529	21776	19311
530	21810	19264
531	531	22059	19532	532	22100	19533	533	22150	19534	534	22187	19535	535	22213	19536	536	22246	19537	537	22287	19538	538	22325	19539	539	22351	19540	540	22392	18541	541	22430	18542	542	22458	18543	22277	18673
544	22312	18627
545	22355	18588
546	22388	18541
547	22436	18506
548	22476	18463
549	22503	18411
550	22533	18361
551	22569	18317
552	22618	18283
553	22658	18241
554	22707	18207
555	22734	18155
556	22765	18105
557	22795	18056
558	22825	18007
559	22856	17958
560	22886	17909
561	22925	17867
562	22953	17816
563	22995	17776
564	23032	17733
565	23059	17681
566	23100	17641
567	23135	17596
568	23160	17543
569	23192	17495
570	23228	17451
571	23268	17410
572	23312	17372
573	23346	17326
574	23388	17286
575	23417	17237
576	23451	17192
577	23496	17154
578	23535	17113
579	23560	17060
580	580	23817	17581	23645	16982
582	23683	16939
583	23731	16904
584	23770	16862
585	23814	16824
586	23845	16777
587	23874	16728
588	23902	16679
589	23932	16631
590	23967	16586
591	24002	16542
592	24039	16499
593	24069	16451
594	24108	16410
595	24147	16368
596	24189	16328
597	24217	16279
598	24252	16235
599	24277	16185
600	24323	16148
601	24355	16101
602	24389	16057
603	24422	16012
604	24458	15968
605	24498	15927
606	24525	15878
607	24556	15832
608	24596	15792
609	24639	15753
610	24675	15709
611	24703	15661
612	612	24963	15613	613	24996	15614	614	25034	15615	615	25074	15616	616	25109	15617	617	25148	15618	618	25181	15619	619	25210	15620	620	25245	15621	25063	15231
622	25107	15193
623	623	25366	15624	624	25406	15625	625	25446	15626	626	25484	15627	627	25524	15628	628	25556	15629	629	25595	15630	630	25638	14631	631	25663	14632	632	25715	14633	633	25747	14634	634	25785	14635	635	25833	14636	636	25869	14637	637	25900	14638	638	25938	14639	639	25978	14640	640	26016	14641	641	26051	14642	642	26085	14643	643	26123	14644	644	26152	14645	645	26198	14646	646	26237	14647	647	26268	14648	648	26296	14649	26105	14056
650	26150	14019
651	26175	13970
652	26219	13932
653	26257	13891
654	26290	13847
655	26321	13802
656	26361	13762
657	26408	13726
658	26442	13682
659	26474	13638
660	26505	13593
661	26545	13553
662	26581	13511
663	26613	13467
664	26647	13424
665	26685	13382
666	26722	13341
667	26759	13299
668	26787	13253
669	26817	13208
670	26852	13166
671	671	27113	13672	672	27157	13673	673	27203	13674	674	27233	13675	675	27272	13676	676	27300	13677	677	27333	12678	678	27374	12679	679	27415	12680	680	27446	12681	681	27477	12682	27292	12667
683	27332	12627
684	27368	12585
685	27411	12546
686	27447	12505
687	27475	12459
688	27506	12415
689	27540	12373
690	27589	12337
691	27630	12298
692	27664	12255
693	27696	12212
694	27738	12173
695	27776	12132
696	27806	12088
697	27848	12048
698	27878	12004
699	27920	11965
700	27954	11923
701	27988	11881
702	28022	11838
703	28076	11804
704	704	28344	11705	28165	11728
706	28209	11690
707	28249	11650
708	28286	11609
709	28325	11569
710	28357	11526
711	28395	11485
712	28435	11446
713	28467	11402
714	28517	11367
715	28556	11326
716	28593	11285
717	28633	11245
718	28666	11203
719	28706	11163
720	28732	11118
721	28771	11078
722	28807	11036
723	28848	10997
724	28892	10959
725	28924	10916
726	28959	10874
727	29016	10841
728	29055	10801
729	29095	10761
730	29124	10717
731	29181	10683
732	29224	10645
733	29263	10605
734	29299	10563
735	29342	10525
736	29387	10487
737	29423	10445
738	29466	10406
739	29488	10360
740	29519	10317
741	29557	10277
742	29599	10238
743	29631	10195
744	29670	10155
745	29702	10113
746	29741	10073
747	29772	10030
748	29806	9988
749	29838	9946
750	29869	9903
751	29901	9861
752	29932	9818
753	29970	9778
754	30018	9741
755	30050	9698
756	30091	9659
757	30128	9618
758	30176	9581
759	30209	9539
760	30245	9498
761	30284	9459
762	30329	9420
763	30375	9382
764	30425	9346
765	30459	9304
766	30487	9261
767	30523	9220
768	30552	9177
769	30583	9135
770	30621	9095
771	30657	9054
772	30687	9011
773	30716	8968
774	30756	8929
775	30786	8886
776	30833	8849
777	30871	8809
778	30905	8767
779	30938	8726
780	30972	8684
781	31008	8644
782	31040	8602
783	31080	8562
784	31109	8520
785	31147	8480
786	31190	8441
787	31225	8400
788	31256	8358
789	31288	8317
790	31317	8274
791	31350	8233
792	31384	8192
793	31427	8153
794	31459	8112
795	31490	8070
796	31524	8029
797	31570	7991
798	31609	7951
799	31643	7910
800	31674	7869
801	31714	7829
802	31749	7789
803	31788	7749
804	31826	7709
805	31862	7669
806	31894	7627
807	31924	7586
808	31969	7547
809	32009	7508
810	32047	7468
811	32073	7425
812	32101	7383
813	32136	7343
814	32179	7304
815	32223	7266
816	32251	7224
817	32283	7182
818	32334	7146
819	32369	7105
820	32402	7064
821	32434	7023
822	32465	6982
823	32503	6942
824	32547	6904
825	32579	6863
826	32606	6820
827	32645	6781
828	32673	6739
829	32706	6698
830	32739	6658
831	32764	6615
832	32805	6576
833	32842	6536
834	32872	6495
835	32901	6454
836	32946	6416
837	32975	6374
838	33017	6335
839	33055	6296
840	33080	6254
841	33116	6214
842	33142	6172
843	33179	6132
844	33209	6091
845	33246	6051
846	33291	6013
847	33330	5974
848	33359	5933
849	33395	5893
850	33435	5854
851	33474	5814
852	33510	5774
853	33550	5735
854	33591	5696
855	33623	5656
856	33654	5615
857	33691	5575
858	33721	5535
859	33757	5495
860	33795	5456
861	33824	5415
862	33859	5375
863	33887	5334
864	33922	5294
865	33956	5254
866	33993	5214
867	34034	5175
868	34055	5133
869	34086	5093
870	34116	5052
871	34147	5012
872	34191	4974
873	34225	4934
874	34265	4895
875	34301	4855
876	34329	4814
877	34366	4775
878	34399	4735
879	34430	4695
880	34464	4655
881	34491	4614
882	34513	4573
883	34549	4533
884	34583	4493
885	34629	4455
886	34663	4416
887	34697	4376
888	34733	4336
889	34778	4298
890	34815	4259
891	34853	4219
892	34880	4179
893	34911	4139
894	34943	4099
895	34981	4060
896	35020	4021
897	35065	3982
898	35105	3944
899	35143	3904
900	35181	3865
901	35213	3825
902	35243	3785
903	35274	3745
904	35308	3706
905	35341	3666
906	35377	3627
907	35408	3587
908	35436	3547
909	35470	3508
910	35510	3469
911	35557	3430
912	35602	3392
913	35627	3352
914	35661	3312
915	35702	3274
916	35746	3235
917	35771	3195
918	35811	3156
919	35840	3116
920	35868	3076
921	35907	3037
922	35947	2998
923	35978	2959
924	36026	2921
925	36068	2882
926	36099	2842
927	36137	2803
928	36184	2765
929	36221	2726
930	36260	2687
931	36318	2649
932	36365	2611
933	36395	2571
934	36431	2532
935	36468	2493
936	36496	2453
937	36539	2415
938	36574	2376
939	36605	2336
940	36638	2297
941	36667	2257
942	36701	2218
943	36743	2179
944	36769	2140
945	36802	2100
946	36843	2061
947	36867	2022
948	36899	1982
949	36926	1943
950	36958	1904
951	36990	1865
952	37027	1826
953	37064	1787
954	37092	1747
955	37132	1709
956	37169	1670
957	37194	1630
958	37234	1591
959	37265	1552
960	37296	1513
961	37334	1474
962	37363	1435
963	37390	1396
964	37437	1357
965	37466	1318
966	37492	1279
967	37522	1240
968	37554	1201
969	37582	1162
970	37624	1123
971	37662	1084
972	37696	1046
973	37726	1007
974	37761	968
975	37797	929
976	37829	890
977	37863	851
978	37903	813
979	37940	774
980	37989	735
981	38021	696
982	38063	658
983	38101	619
984	38130	580
985	3985	38411986	3986	38445987	3987	38477988	3988	38514989	3989	38550990	3990	38591991	38379	309
992	3992	38657993	38490	232
994	38562	193
995	38632	155
996	38662	116
997	38690	77
998	38713	38
999	3999	38982	0
