iter	MultiClass
0	0.986762909
11	0.899754862	02	0.817218503	03	0.7489769544	4	0.688571975	0.6291105228
6	0.5771758377
7	0.5341087269
8	0.4968027739
9	0.4650641074
10	10	0.4332582611	11	0.4022063612	12	0.3780075804
13	0.355197714	014	0.332935946
15	0.311935401
16	0.2931296781
17	0.2768293708
18	0.2613459497
19	0.2466784379
20	0.232434552
21	0.2195984457
22	0.2079864228
23	0.1984094131
24	0.1888735006
25	0.1792617862226	0.1698804772727	0.161827832828	0.1547293892929	0.147376758330	0.1402701138331	0.1337368636332	0.1283903966333	0.1214313779334	0.1161350322335	0.1104363144336	0.1063802394337	0.1024990326338	0.09825644103939	0.09395001384040	0.09013983512
41	0.08608858053
42	0.08230243748
43	0.08000687142
44	0.07698915201
45	0.07488923717
46	0.07254729416
47	0.06991234806
48	0.06766016198
49	0.06524438209
50	0.06336352257
51	0.06147086269
52	0.05987249235
53	0.05835480112
54	0.05665095718
55	0.05537325904
56	0.05365442209
57	0.05202052346
58	0.05042281123
59	0.04909310073
60	0.04798777951
61	0.04705865291
62	0.0458278101
63	0.04464316642
64	0.04355503947
65	0.04248516846
66	0.04165512882
67	0.04089894896
68	0.03991738831
69	0.03929358544
70	0.0384271	0.0471	0.03793026386
72	0.03720902529
73	0.0364874	0.0474	0.03586835165
75	0.03544831883
76	0.03475500129
77	0.0339908292
78	0.03340805283
79	0.03284553699
80	0.03209457948
81	0.03157923852
82	0.0383	0.0339783	0.0384	0.0332784	0.0385	0.0326285	0.0286	0.0322186	0.0287	0.0316687	0.0288	0.0311088	0.0289	0.0305689	0.02745954515
90	0.02719924208
91	0.0292	0.0291792	0.02661011583
93	0.02613764769
94	0.02589800333
95	0.02542835765
96	0.02513412886
97	0.02469515634
98	0.02418873787
99	0.02394510301
100	0.02341180243
101	0.02293741665
102	0.0228440353
103	0.02256419436
104	0.02236644727
105	0.02197870743
106	0.02171137317
107	0.02136734863
108	0.02107777521
109	0.02078172527
110	0.02111	0.025111	0.02018738577
112	0.01991133475
113	0.01964684627
114	0.01948382796
115	0.01943488198
116	0.01914970185
117	0.01118	0.0234118	0.01891429462
119	0.01120	0.0229120	0.01121	0.0228121	0.0122	0.02268122	0.123	0.02245123	0.0124	0.02053124	0.01782289228
125	0.01763108996
126	0.01756929502
127	0.01732623811
128	0.01726950358
129	0.01703098393
130	0.01694376662
131	0.01673525873
132	0.01667634003
133	0.01655908993
134	0.01629573752
135	0.01611864016
136	0.01586491266
137	0.01574072548
138	0.01561738282
139	0.01539470203
140	0.01516357962
141	0.01509652401
142	0.01502738252
143	0.01492729413
144	0.01477816921
145	0.01475073184
146	0.01457537877
147	0.01442192495
148149	0.018300352149	0.01413664894
150151	0.0180534151	0152	0.0179766152	0153	0.017800153	0.154	0.017609154	0.155	0.017504155	0.156	0.017432156	0.157	0.017354157	0.158	0.01718158	0.0159	0.01704159	0.0160	0.01686160	0.0161	0.01668161	0.0162	0.01654235483
163	0.01637163	0.0164	0.0162924247
165	0.01624654694
166	0.01619185249
167	0.0160974847
168	0.01600146407
169	0.01587455635
170	0.01577952962
171	0.0155987141
172	0.01550193704
173	0.01545385173	174	0.01541401174	175	0.01538384175	176	0.01529971176	177	0.01508237177	0.01153486845
178	179	0.01497404179	0.01131229376
180	0.01123144742
181	182	0.01471767182	183	0.01461757183	184	0.01446916184	185	0.0144305834
186	0.014343104186187	0.014288738187188	0.01418741118189	0.014100042618190	0.013995992019191	0.01386398981192	0.013794309121193	0.013701936919194	0.01360210931
195	0.013514539619196	0.01345423691
197	0.01339691225
198	0.01336203941
199	0.01329810325
200	0.01322651188
201	0.01316533552
202	0.0130942323
203	0.01304528698
204	0.01301180616
205	0.01294264619
206	0.01287600947
207	0.01280214424
208	0.01274507526
209	0.01270006846
210	0.01261543308
211	0.01253216857
212	0.01247779109
213	0.01242706642
214	0.01239091213
215	0.01232234931
216	0.01225293054
217	0.01216172816
218	0.0120947589
219	0.01206641448
220	0.01201174633
221	0.01195424562
222	0.01192256098
223	0.01186786649
224	0.01179930641
225	0.01172533044
226	0.0116242818
227	0.01154431677
228	0.01152354509
229	0.01150635424
230	0.01143674198
231	0.01136867722
232	0.01132061513
233	0.01126907665
234	0.01120673734
235	0.01115576741
236	0.01111073085
237	0.01102843573
238	0.01095929904
239	0.0109171707
240	0.0109026477
241	0.01086282453
242	0.01080647488
243	0.01076444026
244	0.01071976936
245	0.01067948137
246	0.01063135404
247	0.01062227484
248	0.01058037822
249	0.01053397041
250	0.01049539728
251	0.01046081151
252	0.01040933653
253	0.01034445637
254	0.01032538291
255	0.01030564703
256	0.01025506796
257	0.01022813339
258	0.01019500328
259	0.01012762906
260	0.01008212679
261	0.01005935497
262	0.01004019203
263	0.009996510361
264	0.009928145378
265	0.009889799628
266	0.009847377601
267	0.00980413541
268	0.009729915214
269	0.009689446871
270	0.009633685362
271	0.009594269424
272	0.009557023196
273	0.009514440545
274	0.009459999525
275	0.009430252305
276	0.009378289553
277	0.009327407504
278	0.009284769247
279	0.009234252138
280	0.009173055276
281	0.009155480883
282	0.009118301558
283	0.0090803286
284	0.009042179964
285	0.009004936778
286	0.008953308542
287	0.008930557933
288	0.008906657197
289	0.008880694579
290	0.008844330486
291	0.008816528335
292	0.008768911322
293	0.008715596368
294	0.008695696774
295	0.008618957278
296	0.008590688261
297	0.008552574896
298	0.008525801606
299	0.008507415834
300	0.008484400819
301	0.008456255566
302	0.00844185158
303	0.008399890608
304	0.008373385766
305	0.008341789476
306	0.008331591746
307	0.008317676122
308	0.008282037598
309	0.008265403342
310	0.008210586027
311	0.008151181215
312	0.008125695948
313	0.008101783538
314	0.008088277563
315	0.00806960509
316	0.008049986443
317	0.008038649624
318	0.007999695065
319	0.007960949257
320	0.007917120635
321	0.007887820567
322	0.00787576953
323	0.007841485934
324	0.007824515858
325	0.007811238285
326	0.007779989031
327	0.007762826217
328	0.007731049229
329	0.007711668517
330	0.007689793167
331	0.007653518696
332	0.007619955327
333	0.007590919001
334	0.007544742521
335	0.007503749815
336	0.007491165286
337	0.007468992396
338	0.007419600877
339	0.007393472464
340	0.007384127092
341	0.00735700295
342	0.007332680717
343	0.007305654573
344	0.007285338066
345	0.007267882785
346	0.007241654794
343	0.005272802505
344	0.005251819379
345	0.005235439727
346	0.005221818725
347	0.005193800625
348	0.005189383495
349	0.005169452039
350	0.005154205515
351	0.005148311491
352	0.005145002991
353	0.005131504651
354	0.005106883517
355	0.005102477105
356	0.005093105213
357	0.00507493954
358	0.00506474295
359	0.005049826615
360	0.005022142443
361	0.005005607018
362	0.004990727824
363	0.004965159438
364	0.004952759374
365	0.004929850205
366	0.004925031991
367	0.004898809638
368	0.004867340438
369	0.004847379948
370	0.00481795065
371374	0.0062357050372	0.00479132934
373	0.004783089817
374	0.004775426818
375	0.004763206373
376	379	0.006142556377	380	0.006126743378	381	0.006113683379	382	0.006092698380	383	0.006071298381	384	0.006066331382	385	0.00605658383	0386	0.00605213384	0387	0.00603189385	0388	0.00600596386	0.004642425946
387	0.004635203817
388	0.004631172704
389	0.004623246739
390	0.00461355123
391	0.004598826313
392	0.004590536607
393	0.00458753027
394	0.004580809993
395	0.004567557713
396	0.004560539225
397	0.004548272756
398	0.004539531652
399	0.004536308776
400	0.004525231163
401404	0.0057031924402	0.004491284272
403	0.004460939527
404	0.004455177229
405	0.004440852452
406	0.004436169931
407	0.004433418785
408	0.004427702694
40412	0.0055867525841413	0.00555635881411	0.004378956326
41415	0.0055180402641416	0.005505876489
417	0.005493085834
418	0.005467853374
419	0.005441479096
420	0.005432194676
421	0.00539134454
422	0.005386692098
423	0.005382463832
424	0.005366210318
425	0.005354927407
426	0.005337964356
427	0.005316906881
428	0.00529774525
429	0.005287366027
430	0.005271427315
431	0.0052543133224432	0.005250573434
433	0.005242619795
434	0.005231624214435	0.0052094562774436	0.00519554654
437	0.00518422758
438	0.005174339375
439	0.005149963836
440	0.005138965369
441	0.005121875351
442	0.005110790209
443	0.005102456006
444	0.005088335457
445	0.005083516486
446	0.005059160007
447	0.005046009752
448	0.005032607324
449	0.00502096552
450	0.005004130561
451	0.004981934158
452	0.004969955464
453	0.004951469879
454	0.00494108293
455	0.004933321305
456	0.004906732703
457	0.004892890951
458	0.004888062922
459	0.004873972842
460	0.004849089925
461	0.004840776817
462	0.004827928167
463	0.004809350625
464	0.004796767062
465	0.004788216885
466	0.004775726073
467	0.004759174896
468	0.004754211345
469	0.004734309257
470	0.004726633856
471	0.004719556861
472	0.004713865314
473	0.004696789049
474	0.004681639829
475	0.004670752483
476	0.004660784101
477	0.004647359508
478	0.004642073519
479	0.004630143944
480	0.004617470705
481	0.00460374709
482	0.004596396838
483	0.004586240591
484	0.004573976099
485	0.004558556109
486	0.004553945948
487	0.004537524393
488	0.004521609947
489	0.004513693906
490	0.004509610737
491	0.004502917298
492	0.004497843885
493	0.004482921952
494	0.0044634778
